Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,References,,,
Djibouti,0.2,0.3,0.5,0.8,1.1,1.5,1.8,2.2,2.4,2.7,2.8,2.8,2.8,2.7,2.6,2.5,2.3,2.2,2.1,1.9,1.9,1.8,1.7,1.6,1.6,1.6,http://aidsinfo.unaids.org/,,,
Dominican Republic,0.6,0.8,1,1.2,1.5,1.7,1.9,2.1,2.2,2.3,2.3,2.3,2.2,2.1,2,1.9,1.8,1.7,1.5,1.4,1.4,1.3,1.2,1.1,1.1,1,http://aidsinfo.unaids.org/,,,
Ecuador,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,http://aidsinfo.unaids.org/,,,
Egypt,,,,,,,,0.003530804,0.003749399,0.004253044,0.005012623,0.005435434,0.005822904,0.006451388,0.007048571,0.007880011,0.008452847,0.00925033,0.010023415,0.011013004,0.011981479,0.013127599,0.01404743,,0.02,,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2155rank.html,Estimated PLHIV (total) / Population (15-49),,
El Salvador,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,http://aidsinfo.unaids.org/,,,
Equatorial Guinea,0.7,0.7,0.8,0.9,1,1.1,1.3,1.5,1.8,2.1,2.5,3,3.5,4.1,4.6,5.2,5.7,6.1,6.4,6.5,6.5,6.3,6,5.6,5.3,4.9,http://aidsinfo.unaids.org/,,,
Eritrea,0.5,0.6,0.8,1,1.2,1.3,1.5,1.5,1.6,1.6,1.6,1.5,1.4,1.3,1.2,1.1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,http://aidsinfo.unaids.org/,,,
Estonia,,,,,,,,,0.557749,0.73328,0.980285,1.272971,1.553169,1.806811,2.020652,2.211003,2.37058,2.503657,2.592811,2.638763,2.845257,2.888838,2.937128,,,,http://www.unaids.org/en/resources/campaigns/globalreport2013/globalreport,,,
Ethiopia,1.3,1.7,2.1,2.5,2.8,3.1,3.3,3.4,3.4,3.4,3.2,3.1,2.8,2.6,2.4,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.3,1.2,1.2,,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2155rank.html,http://data.worldbank.org/indicator/SH.DYN.AIDS.ZS,,
France,0.308351,0.30561,0.301845,0.2853,0.286145,0.289228,0.292844,0.318894,0.328805,0.355202,0.362359,0.384625,0.388018,0.387906,0.421415,0.421251,0.438295,0.438962,0.45688,0.475134,0.493674,0.512591,,,0.5107917,,http://www.aidsmap.com/Australia-performs-best-in-HIV-treatment-cascade-62-with-undetectable-viral-load/page/2919074/,http://www.unaids.org/en/resources/campaigns/globalreport2013/globalreport,,
Gabon,0.9,1.2,1.5,1.9,2.3,2.8,3.3,3.7,4.2,4.6,5,5.2,5.4,5.4,5.5,5.4,5.4,5.2,5,4.8,4.6,4.4,4.2,4,3.9,3.8,http://aidsinfo.unaids.org/,,,
Gambia,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1,1.3,1.5,1.7,1.9,2,2.1,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2,2,1.9,1.9,1.8,http://aidsinfo.unaids.org/,,,
Georgia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,http://aidsinfo.unaids.org/,,,
Ghana,1.5,1.7,1.9,2.2,2.4,2.6,2.7,2.8,2.9,2.9,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2,1.9,1.9,1.8,1.7,1.7,1.6,http://aidsinfo.unaids.org/,,,
Greece,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,http://aidsinfo.unaids.org/,,,
Guatemala,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,http://aidsinfo.unaids.org/,,,
